epoch,train_loss,train_nmse,val_loss,val_nmse
1,0.1392362495504796,0.09091695727903995,0.11980541888049424,0.0732806942210992
2,0.13058386529315233,0.08444232225111668,0.11751317243540452,0.0717219021099224
3,0.12849365121127956,0.0828076739877305,0.11638617706280131,0.07086859869076897
4,0.12745416344022328,0.08196338539317272,0.11558661024523738,0.07013952035379549
5,0.12689663033900545,0.08156842475334466,0.11523515048593184,0.06996979199603903
6,0.12648692666694858,0.08128467506976318,0.11488930194003753,0.06963841722138542
7,0.12596943995269308,0.08086912953171466,0.11455956902176889,0.0693978927095386
8,0.1256477352676164,0.08065906727493248,0.11421451692092326,0.06932565463668641
9,0.12544415602629294,0.08055224847675461,0.1139004634783411,0.06906786149202052
10,0.12497149336192029,0.08018406201469319,0.11372939094905166,0.0689803863912039
11,0.12473418133240953,0.08002766962692712,0.1134215437031257,0.06877641483147472
12,0.12450359989899168,0.07985873610204915,0.11348383638969226,0.06887730798851971
13,0.12435835246586557,0.07976407497721355,0.11318652695009633,0.06867681096686185
14,0.1241344862640367,0.07957916822172427,0.11299705181578373,0.06846826775240399
15,0.12394455545432562,0.07942792768869308,0.11299957617628764,0.06856479218314604
16,0.12385800947301465,0.07937242310001535,0.11276788393963329,0.06827679293646961
17,0.1236782747234951,0.07921868625800522,0.11271619085559881,0.06828461943301481
18,0.1237538816558308,0.07931727722077209,0.11265047927899184,0.06821596873099653
19,0.12350316174748266,0.07909464976421819,0.11268931687806745,0.06814484626933826
20,0.12355729251405534,0.07916145133319408,0.11252244687641959,0.0680827169975627
21,0.1233725593412535,0.07900090994796734,0.11239381243853729,0.06800724085911629
22,0.12339027928070845,0.07903594946018717,0.11239288066175511,0.06810718645855304
23,0.12338927836546716,0.07905241954452909,0.11230861146768692,0.06802392910084433
24,0.12324919153336533,0.07892604188552489,0.11227382528582643,0.06792631682693039
25,0.12314203167191375,0.07883321114546261,0.11217633411017452,0.06787397484226904
26,0.12307238689048954,0.07877112150595135,0.11213309035235465,0.06785798589228532
27,0.12309437939068801,0.07881397457622337,0.1121103269528628,0.06783426560292405
28,0.12301003476732804,0.0787465725872377,0.11216838417624474,0.06790896992621936
29,0.12299229465373078,0.07873880886338284,0.11211976021572019,0.06778552029665345
30,0.12297744620008978,0.07874383953554094,0.11198313064267423,0.06773466512971602
