epoch,train_loss,train_l1,train_nmse,train_mrstft,train_total,val_loss,val_nmse,val_mae,val_l1,val_mrstft,val_total,time
1,8.43552625638397,0.171339137135828,1.2054952641288599,7.058691864469612,8.43552625638397,7.56822952071389,0.5227350766187185,0.12005026360134502,0.12005026360134502,6.925444166738909,7.56822952071389,20.930262804031372
2,5.460650029568717,0.11035485636902995,0.3979303063663987,4.95236486742696,5.460650029568717,6.323211140685029,0.2851003791604723,0.09116634456338463,0.09116634456338463,5.946944430634216,6.323211140685029,21.306212663650513
3,4.855739269281922,0.09493932754276284,0.30261618480739366,4.458183755279379,4.855739269281922,5.6324447589916184,0.20444552453009637,0.07693369007045096,0.07693369007045096,5.351065533501761,5.6324447589916184,18.315972566604614
4,4.412053267794302,0.08798669040163516,0.2506665059453146,4.073400076008729,4.412053267794302,5.553575972934346,0.30316751966109645,0.09329510373728615,0.09329510373728615,5.157113328739837,5.553575972934346,18.35530161857605
5,4.057907956846523,0.07814872816482071,0.19413880429973956,3.7856204269100155,4.057907956846523,5.192360653982058,0.2049090591269535,0.07775901073774139,0.07775901073774139,4.9096925887432725,5.192360653982058,21.301924467086792
6,3.698361468663412,0.06841462786256237,0.15075816438690443,3.4791886752661796,3.698361468663412,4.460601909475012,0.09778237813612917,0.053091781602783515,0.053091781602783515,4.30972772705686,4.460601909475012,21.33771800994873
7,3.5234427958687307,0.070621059017669,0.16184661785761514,3.2909751167968606,3.5234427958687307,4.623663375010858,0.1624357351562479,0.06886466670331064,0.06886466670331064,4.392362970572251,4.623663375010858,18.41360902786255
8,3.76282787512973,0.07894092519207305,0.20513736130113147,3.4787495883495843,3.76282787512973,5.055601612552182,0.3503114751407078,0.10419524739404301,0.10419524739404301,4.601094898941753,5.055601612552182,18.762624263763428
9,3.6584182938098273,0.07577079654254444,0.18668392001790987,3.3959635801682593,3.6584182938098273,4.311423810628744,0.15189503419857758,0.06357485805075247,0.06357485805075247,4.095953908922908,4.311423810628744,21.895875215530396
10,3.2164057816167277,0.06809281906085819,0.17067750986630856,2.9776354535800684,3.2164057816167277,3.9332305756244033,0.10846604877612093,0.05734080215404322,0.05734080215404322,3.7674237224426896,3.9332305756244033,18.742220163345337
