epoch,beta_kl,train_total,train_reconstruction,train_mrstft,train_kl,train_l1,train_nmse,val_total,val_reconstruction,val_mrstft,val_kl,val_l1,val_nmse,val_nmse_metric,val_mae_metric,val_loss,time
1,0.0,2.428059257042519,0.13185292967208037,2.296206327231915,5709.518051491948,0.05029467207838498,0.08155825747001377,3.293322653560848,0.14321372911825284,3.150108916418893,5326.259239783654,0.05173398838839033,0.09147974095501743,0.09147974095501743,0.05173398838839033,3.293322653560848,35.29200792312622
2,6.666666666666667e-06,2.4323936225883513,0.15390271016682286,2.2397313909543306,5813.929092224851,0.05526794942904754,0.0986347608268261,3.176574414902991,0.11573057769091574,3.022403951529618,5765.982298463256,0.04516457307797212,0.07056600580012405,0.07056600580012405,0.04516457307797212,3.176574414902991,33.58857560157776
3,1.3333333333333333e-05,2.403201012814029,0.1310232854776015,2.1930205508532277,5936.788000342381,0.04882849491192683,0.08219479071903989,3.116669256608565,0.10151574150710316,2.934375376491756,6058.361102764423,0.04039844168493381,0.06111729894201834,0.06111729894201834,0.04039844168493381,3.116669256608565,33.351828813552856
4,2e-05,2.4047166525446877,0.13048454127701156,2.153363730486329,6043.419095752407,0.04986687079764616,0.08061767049420719,3.1160796612173645,0.10918085588203681,2.886874107541619,6001.234670115041,0.04398725953485284,0.06519359632671534,0.06519359632671534,0.04398725953485284,3.1160796612173645,33.29974937438965
5,2.6666666666666667e-05,2.3746404353365955,0.12026160904966977,2.0938114833388513,6021.275430828769,0.04725616947212226,0.07300543940439326,3.061876832128881,0.11002487853005692,2.7993720946731147,5717.995192307692,0.044646313291165855,0.06537856505467342,0.06537856505467342,0.044646313291165855,3.061876832128881,30.381619930267334
6,3.3333333333333335e-05,2.3867126997723522,0.11456488649228497,2.052692167629125,6583.669322709164,0.04468812701721511,0.0698767596704868,3.0785040167661815,0.08974941152628961,2.775464143726852,6398.71435546875,0.036165938804765325,0.053583472987616454,0.053583472987616454,0.036165938804765325,3.0785040167661815,33.30931091308594
7,4e-05,2.549875653439151,0.13168382144979587,2.1177545105160314,7510.933145024071,0.04751652631794868,0.08416729519121438,3.2094925137666555,0.10673704935790418,2.8138065315209904,7223.723385989011,0.04260795051743696,0.06412909854367212,0.06412909854367212,0.04260795051743696,3.2094925137666555,33.38833928108215
8,4.666666666666667e-05,2.564203813414808,0.12636513067075456,2.0724860835043715,7828.983951563538,0.04824348185384574,0.07812164877238344,3.268385655932374,0.10626082507136105,2.8157244458958344,7422.865352421017,0.04127757873508956,0.06498324525143419,0.06498324525143419,0.04127757873508956,3.268385655932374,33.383365869522095
9,5.333333333333333e-05,2.4647406926984647,0.12089080893364086,1.9794719013401554,6832.087034673805,0.04592676796662222,0.07496404097443954,3.0796742871567444,0.11331238257852229,2.63432829949882,6225.630033052885,0.044196454173588494,0.06911592844587106,0.06911592844587106,0.044196454173588494,3.0796742871567444,33.59324645996094
10,6e-05,2.46072466962366,0.12003258213024849,1.9681185186305052,6209.559626079017,0.045529050017851756,0.07450353208518677,3.1371728496237115,0.09666381719020697,2.6699971107991187,6175.198773394574,0.039172139121117173,0.05749167819190156,0.05749167819190156,0.039172139121117173,3.1371728496237115,33.40805268287659
11,6.666666666666667e-05,2.4663510936823183,0.12422944860629352,1.9273156540327339,6222.089776959869,0.048313074452112394,0.07591637437680802,3.0941654856388388,0.1072503662780746,2.591572950502018,5930.132509336367,0.04342890782588786,0.063821458493124,0.063821458493124,0.04342890782588786,3.0941654856388388,33.84580397605896
12,7.333333333333333e-05,2.429825551164736,0.11368648180488254,1.883560707527961,5898.795576158906,0.044849734612373245,0.0688367473062964,3.1233241996922336,0.09200680853573831,2.595138588449457,5947.892588856456,0.03770804810491237,0.05429876071738673,0.05429876071738673,0.03770804810491237,3.1233241996922336,33.13981652259827
13,8e-05,2.399816176647526,0.10785935645005301,1.8153973547110995,5956.993546646746,0.042680203894853275,0.06517915254777884,3.101805139373947,0.0840202161612419,2.5279359336082754,6123.1126212654535,0.03575385173598489,0.04826636421033642,0.04826636421033642,0.03575385173598489,3.101805139373947,33.16092324256897
